iter	Logloss
0	0.6304192857
1	0.5823162608
2	0.5415578943
3	0.502748826
4	0.4780149464
5	0.4520338822
6	0.4358976061
7	0.4208327178
8	0.4067782082
9	0.3941209236
10	0.3847436876
11	0.3752266289
12	0.3655355839
13	0.3597445971
14	0.352999003
15	0.3465102548
16	0.3422363922
17	0.3376632403
18	0.3325876602
19	0.3283623801
20	0.3258397204
21	0.3234939801
22	0.3212505057
23	0.3193029506
24	0.3165067424
25	0.3144188224
26	0.3126664445
27	0.3114735063
28	0.310351012
29	0.3093810717
30	0.3082270505
31	0.3073242681
32	0.3060786175
33	0.3048076101
34	0.303843759
35	0.3027172063
36	0.3020769469
37	0.3013739609
38	0.3008197764
39	0.300073204
40	0.2995835153
41	0.29885853
42	0.2978532806
43	0.2973664582
44	0.2969420747
45	0.2964281555
46	0.2959397571
47	0.2952646181
48	0.2946924975
49	0.2941944891
50	0.2938253913
51	0.2935911002
52	0.2932900302
53	0.2929299242
54	0.2925332436
55	0.2922434505
56	0.2918971734
57	0.2914437299
58	0.2911940912
59	0.2909130656
60	0.2906143679
61	0.2904049115
62	0.2902204548
63	0.2900045177
64	0.2897509557
65	0.2896034531
66	0.2893352216
67	0.2890840531
68	0.2888396973
69	0.2886110169
70	0.2883312026
71	0.2880508953
72	0.2879445776
73	0.2877110535
74	0.2874421656
75	0.2873387814
76	0.2871922156
77	0.2869816102
78	0.2866573462
79	0.286490051
80	0.2863133789
81	0.2861276402
82	0.2859987639
83	0.2857553901
84	0.2855598589
85	0.2853909437
86	0.2852259021
87	0.2849628219
88	0.2848305112
89	0.2846713999
90	0.2845239627
91	0.2844131132
92	0.2842219683
93	0.2841178661
94	0.2839773049
95	0.2838502339
96	0.2836040672
97	0.2834475374
98	0.283217577
99	0.2830417922
100	0.2828879494
101	0.2827510532
102	0.2825476712
103	0.282383706
104	0.2822566888
105	0.2821313026
106	0.2819499549
107	0.2816584388
108	0.2815111983
109	0.2813369868
110	0.2812884746
111	0.2810876357
112	0.2809241004
113	0.2807264968
114	0.2804887976
115	0.2803180726
116	0.2800444019
117	0.2798648072
118	0.279667239
119	0.2795779069
120	0.2794546168
121	0.27939822
122	0.2792970949
123	0.2791691951
124	0.2790919917
125	0.2789953849
126	0.2789263735
127	0.2787622891
128	0.2785526518
129	0.2784474242
130	0.2782553236
131	0.2781085329
132	0.2779882589
133	0.277892859
134	0.2777652302
135	0.2776680792
136	0.2774982684
137	0.277393569
138	0.2773034311
139	0.2771592442
140	0.2769268859
141	0.2768422607
142	0.2767235615
143	0.2765912211
144	0.2765065739
145	0.2763348724
146	0.2761026628
147	0.2760133475
148	0.275952655
149	0.2757534223
150	0.2756897986
151	0.275650649
152	0.2755572243
153	0.2753853342
154	0.2752437669
155	0.2751027592
156	0.2750395185
157	0.2749525318
158	0.2747907303
159	0.2747423871
160	0.2746276084
161	0.2745079076
162	0.2744105606
163	0.2742947057
164	0.2741751308
165	0.2741114877
166	0.2740436959
167	0.2739205494
168	0.273837896
169	0.2737507981
170	0.2735626861
171	0.2735274565
